"","id","type","price","netHabitableSurface","landSurface","bedrooms","gemeente","postalCode","street","number","lat","lon","url","category"
"214",1851017,"HOUSE",325000,140,120,4,"Antwerpen","2170","Lebaudystraat","36",4.4447877886009,51.241078164398,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/1851017",NA
"215",1698517,"HOUSE",399000,338,215,5,"Antwerpen","2170","Annuntiatenstraat","62",4.444957637897,51.24749475651,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/1698517",NA
"216",2095145,"HOUSE",299000,181,145,3,"Mortsel","2640","Edmond thieffrylaan","10",4.4450959417432,51.166580617713,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/2095145",NA
"217",1969995,"HOUSE",389000,197,99,4,"Antwerpen","2140","Zendelingenstraat","48",4.4451337795491,51.216767437916,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/1969995",NA
"218",1940617,"HOUSE",569000,225,149.4363914,6,"Antwerpen","2100","Van amstelstraat","43",4.4451791746306,51.232759626881,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/1940617",NA
"219",1850231,"HOUSE",319000,143,175.41931466106,5,"Antwerpen","2600","Langemarkstraat","64",4.4452201507858,51.193306273982,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/1850231",NA
"220",1869129,"HOUSE",449000,185,211,4,"Antwerpen","2170","Moeshofstraat","127",4.4457901173545,51.253879684081,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/1869129",NA
"221",2032917,"HOUSE",299900,125,151.66073259665,2,"Edegem","2650","Onafhankelijkheidsstraat","60",4.4461736280718,51.158471445189,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/2032917",NA
"222",1908110,"HOUSE",399000,118,202,3,"Antwerpen","2600","Saffierstraat","226",4.4465054413874,51.190629204638,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/1908110",NA
"223",2084230,"HOUSE",735000,300,935,4,"Kontich","2550","Mechelsesteenweg","160",4.4465383731377,51.129092579795,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/2084230",NA
"224",1944108,"HOUSE",325000,135,230,3,"Antwerpen","2100","Van duyststraat","74",4.4465516044549,51.231347411648,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/1944108",NA
"225",1837954,"HOUSE",375000,269,187,3,"Antwerpen","2170","Laaglandlaan","160",4.4465529050369,51.256072065853,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/1837954",NA
"226",1944030,"HOUSE",375000,200,260,4,"Antwerpen","2100","Van duyststraat","96",4.447359034231,51.231566294123,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/1944030",NA
"227",2102265,"HOUSE",475000,180,340,4,"Mortsel","2640","Rode leeuwlaan","46",4.4477311049613,51.187477253377,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/2102265","new"
"228",1943859,"HOUSE",265000,125,110,3,"Antwerpen","2100","Van duyststraat","97",4.4478557770935,51.232043174666,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/1943859",NA
